,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
2,-80.0,-49.0,-50.0,-73.0,-43,12.0,None,DE,Bavaria
3,-83.0,-55.0,-63.0,-70.0,-44,12.0,None,DE,Berlin
4,-75.0,-52.0,-53.0,-63.0,-31,9.0,None,DE,Brandenburg
5,-79.0,-54.0,-22.0,-74.0,-40,10.0,None,DE,Bremen
6,-80.0,-50.0,-34.0,-72.0,-42,12.0,None,DE,Hamburg
7,-74.0,-40.0,-26.0,-72.0,-41,10.0,None,DE,Hesse
8,-76.0,-52.0,-42.0,-64.0,-36,10.0,None,DE,Lower Saxony
9,-74.0,-48.0,-50.0,-64.0,-32,8.0,None,DE,Mecklenburg-Vorpommern
10,-77.0,-51.0,-50.0,-70.0,-38,11.0,None,DE,North Rhine-Westphalia
11,-74.0,-40.0,-38.0,-71.0,-39,10.0,None,DE,Rhineland-Palatinate
12,-77.0,-56.0,-29.0,-71.0,-39,10.0,None,DE,Saarland
13,-78.0,-51.0,-50.0,-66.0,-34,10.0,None,DE,Saxony
14,-74.0,-48.0,-56.0,-65.0,-27,8.0,None,DE,Saxony-Anhalt
15,-70.0,-53.0,-27.0,-58.0,-36,10.0,None,DE,Schleswig-Holstein
16,-75.0,-44.0,-50.0,-63.0,-32,8.0,None,DE,Thuringia
0,-15.0,8.0,-15.0,-15.0,3,9.0,None,GH,None
0,-80.0,-41.0,-55.0,-76.0,-53,20.0,None,GR,None
0,-67.0,-39.0,-53.0,-69.0,-39,19.0,None,GT,None
0,-50.0,-11.0,-25.0,,-27,,None,GW,None
0,-34.0,-31.0,-19.0,-48.0,-14,7.0,None,HT,None
0,-81.0,-64.0,-59.0,-74.0,-46,20.0,None,HN,None
0,-35.0,-7.0,-43.0,-45.0,-24,16.0,None,HK,None
0,-66.0,-43.0,-7.0,-53.0,-32,10.0,None,HU,None
1,-70.0,-45.0,27.0,-45.0,-30,9.0,None,HU,Baranya
2,-59.0,-47.0,19.0,-38.0,-28,8.0,None,HU,Borsod-Abaúj-Zemplén
3,-74.0,-40.0,-38.0,-67.0,-39,12.0,None,HU,Budapest
4,-62.0,-42.0,10.0,-47.0,-27,9.0,None,HU,Bács-Kiskun
5,-54.0,-39.0,15.0,-43.0,-23,7.0,None,HU,Békés County
6,-66.0,-40.0,-12.0,-39.0,-28,10.0,None,HU,Csongrád
7,-58.0,-43.0,24.0,-48.0,-30,9.0,None,HU,Fejér
8,-71.0,-48.0,-6.0,-51.0,-42,11.0,None,HU,Gyor-Moson-Sopron
9,-63.0,-46.0,34.0,-52.0,-28,9.0,None,HU,Hajdú-Bihar
10,-62.0,-48.0,-35.0,-48.0,-34,12.0,None,HU,Heves County
11,-52.0,-38.0,32.0,-49.0,-25,8.0,None,HU,Jász-Nagykun-Szolnok
12,-57.0,-40.0,51.0,-46.0,-28,9.0,None,HU,Komárom-Esztergom
13,-51.0,-40.0,-29.0,-30.0,-24,15.0,None,HU,Nógrád County
14,-56.0,-42.0,57.0,-34.0,-31,10.0,None,HU,Pest County
15,-58.0,-44.0,1.0,-44.0,-30,10.0,None,HU,Somogy County
16,-57.0,-52.0,4.0,-43.0,-25,7.0,None,HU,Szabolcs-Szatmár-Bereg
17,-50.0,-44.0,,-44.0,-28,18.0,None,HU,Tolna County
18,-68.0,-50.0,19.0,-55.0,-38,13.0,None,HU,Vas County
19,-57.0,-44.0,5.0,-43.0,-33,9.0,None,HU,Veszprém
20,-66.0,-52.0,-25.0,-48.0,-35,11.0,None,HU,Zala County
0,-77.0,-65.0,-57.0,-71.0,-47,22.0,None,IN,None
